Gruppe, E122,  E199,   E290,   E430,   E500,   E600,   E700,   E800,   E900,   L000,   L122,   L199,   L290,   L430,   L500,   L600,   L700,   L800,   L900,   L1000
A1,     81.2,	81.6,	80.9,	81.8,	81.4,	81.2,	81.8,	81.1,	80.9,	127.8,	126.0,	120.9,	115.2,	98.0,	81.6,	83.8,	105.8,	107.2,	110.1,	113.8
B1,     78.3,	81.4,	82.0,	79.0,	81.5,	81.4,	80.2,	79.9,	80.0,	127.0,	126.2,	121.1,	114.9,	91.5,	87.3,	85.2,	105.6,	102.9,	111.2,	113.8
A2,     83.4,	82.4,	82.1,	82.3,	82.5,	82.7,	83.0,	83.1,	83.2,	126.7,	124.1,	120.2,	114.2,	94.2,	87.1,	95.7,	106.5,	106.9,	109.4,	114.7
B2,     85.0,	80.2,	79.1,	77.3,	78.9,	80.4,	78.9,	77.9,	78.2,	127.5,	126.1,	122.3,	116.7,	89.3,	83.6,	84.2,	104.6,	111.2,	113.9,	114.3
A3,     85.3,	77.5,	75.9,	76.3,	78.9,	73.9,	74.2,	72.5,	76.5,	125.8,	125.2,	119.5,	115.2,	98.5,	93.0,	83.5,	104.0,	111.9,	113.0,	113.8
B3,     90.0,	85.0,	73.3,	69.6,	77.4,	65.9,	78.3,	74.4,	74.8,	127.5,	124.9,	122.7,	120.6,	92.4,	82.9,	96.6,	104.4,	111.9,	108.8,	112.8
A4,     71.5,	72.9,	71.1,	73.4,	73.0,	74.5,	73.2,	72.8,	72.5,	127.1,	124.7,	125.0,	116.4,	94.5,	93.8,	83.9,	103.9,	108.7,	111.7,	114.3
B4,     74.0,	73.6,	73.3,	73.1,	73.5,	69.9,	73.0,	72.9,	73.2,	127.2,	125.6,	124.8,	115.2,	107.3,	101.2,	83.2,	103.2,	108.2,	111.4,	113.5
A5,     86.4,	81.8,	80.6,	77.2,	73.8,	76.7,	78.7,	80.1,	72.3,	127.8,	123.2,	118.9,	112.2,	103.8,	95.1,	83.4,	101.8,	110.9,	111.8,	114.0
B5,     83.2,	72.3,	74.8,	74.6,	73.9,	70.5,	74.0,	75.0,	71.8,	127.4,	123.9,	108.4,	125.0,	103.6,	100.7,	81.6,	103.6,	112.1,	110.5,	114.4
