Gruppe,  E067,  E176,   E301,   E392,   E491,   E600,   E660,   E750,   E851,   L000,   L067,   L176,   L301,   L392,   L491,   L600,   L660,   L750,   L851,   L1000 
A5,      74.5,  78.4,   77.1,   75.9,   76.3,   77.6,   77.5,   77.3,   79.9,   114.6,  112.9,  102.9,  99.0,   94.3,   89.6,   84.8,   83.1,   83.8,   85.0,   95.0
B5,      78.5,  79.1,   78.3,   79.4,   80.2,   79.4,   77.9,   79.1,   79.0,   115.0,  111.4,  108.2,  95.2,   90.0,   84.6,   82.2,   80.7,   84.4,   91.3,   94.0
A4,      77.8,  76.7,   77.0,   77.9,   78.0,   79.2,   77.7,   77.1,   78.2,   115.9,  112.4,  108.4,  96.1,   93.1,   84.8,   82.6,   81.4,   85.1,   88.8,   94.6
B7,      75.4,  75.5,   76.1,   74.6,   75.1,   75.7,   75.9,   76.9,   75.0,   114.4,  112.2,  101.2,  97.3,   87.4,   81.6,   82.0,   83.7,   82.1,   89.2,   94.4 
A2,      80.1,  77.9,   78.7,   77.3,   78.5,   78.6,   77.8,   78.2,   78.0,   114.3,  112.2,  108.7,  97.5,   95.0,   88.2,   84.3,   82.8,   85.3,   92.8,   94.5
B2,      76.9,  76.3,   76.1,   77.0,   77.8,   77.6,   76.6,   78.0,   77.1,   114.2,  114.0,  110.0,  98.5,   91.8,   88.7,   83.6,   84.3,   84.4,   91.0,   94.0
A1,      78.6,  77.4,   77.5,   77.1,   77.4,   76.8,   76.7,   77.8,   78.4,   113.1,  110.5,  108.5,  103.2,  95.5,   85.2,   80.8,   79.7,   82.2,   90.1,   92.1
B1,      75.8,  77.3,   77.2,   77.4,   77.2,   77.2,   77.1,   78.2,   76.2,   113.3,  113.4,  104.8,  98.3,   92.4,   82.2,   80.8,   80.9,   82.8,   89.9,   94.7
A7,      78.5,  80.2,   79.1,   79.1,   78.9,   77.4,   77.1,   78.6,   79.5,   115.3,  113.4,  107.8,  96.5,   93.4,   83.0,   81.8,   84.2,   85.3,   89.5,   94.3
A3,      78.4,  77.0,   78.3,   77.0,   78.9,   79.0,   78.0,   79.0,   79.0,   115.0,  112.4,  107.9,  94.4,   94.5,   82.5,   84.6,   89.7,   84.5,   91.8,   94.2
A6,      78.7,  77.2,   77.4,   77.5,   77.3,   77.2,   77.3,   77.6,   77.5,   115.2,  113.7,  109.5,  99.0,   95.9,   90.2,   83.5,   82.7,   87.4,   91.0,   94.7
B6,      84.9,  80.6,   81.6,   79.4,   78.2,   79.6,   75.8,   81.3,   73.4,   115.8,  113.6,  112.3,  94.8,   91.5,   85.7,   83.2,   84.7,   84.6,   92.9,   94.8
