Params,     T/V1,   T/V2,   T/V3,   T/V4,   T/V5,   T/V6,   T/V7,   T/V8

T(A1_S),    50.05,  46.9,   45.4,   38.8,   35.3,   32.2
V(A1_S),    12.75,  11.25,  10.75,  8.3,    6.95,   6.35

T(A1_B),    49.1,   45.0,   42.1,   38.7,   35.9,   33.1
V(A1_B),    18.3,   15.2,   14.0,   13.75,  11.5,   10.15

T(A2_S),    49.9,   43.2,   40.9,   38.9,   35.8,   32.2
V(A2_S),    12.25,  9.4,    8.6,    8.05,   6.95,   6.0

T(A2_B),    50.0,   46.6,   43.8,   41.2,   38.0,   32.8
V(A2_B),    18.65,  16.3,   14.8,   13.75,  12.15,  10.33

T(A3_S),    50.0,   46.0,   42.2,   38.1,   34.0,   30.4
V(A3_S),    12.9,   10.85,  9.2,    7.8,    6.75,   6.0

T(A3_B),    50.0,   46.0,   42.0,   38.0,   34.0,   30.4
V(A3_B),    17.55,  15.15,  13.25,  11.85,  10.65,  9.45

T(A4_S),    49.6,   46.4,   43.5,   39.6,   36.6,   33.4
V(A4_S),    11.4,    10.75,  9.3,   8.0,    7.1,    6.45

T(A5_S),    49.5,   46.0,   43.0,   39.0,   36.0,   33.0
V(A5_S),    11.5,   10.1,   9.1,    7.85,   7.0,    6.8

T(A5_B),    48.9,   47.8,   42.7,   39.1,   35.3,   32.3
V(A5_B),    20.9,   19.4,   17.3,   15.1,   13.2,   11.9

T(B1_S),    47.0,   44.7,   40.7,   38.0,   34.8,   31.3
V(B1_S),    10.65,  10.3,   8.8,    7.6,    6.7,    5.8

T(B1_B),    48.9,   45.2,   41.8,   37.3,   33.5,   30.1
V(B1_B),    17.8,   15.2,   13.9,   12.4,   10.9,   9.75

T(B2_S),    50.2,   44.9,   40.5,   38.0,   35.0,   31.9
V(B2_S),    12.55,  10.4,   8.7,    7.75,   7.0,    6.2

T(B2_B),    50.0,   45.7,   38.7,   36.9,   33.5,   30.9
V(B2_B),    17.8,   16.35,  12.85,  11.8,   10.65,  9.55

T(B3_S),    49.5,   45.8,   42.0,   39.4,   35.3,   32.2
V(B3_S),    12.15,  10.25,  8.75,   8.15,   6.85,   6.0

T(B3_B),    49.8,   47.0,   44.3,   41.2,   35.6,   31.0
V(B3_B),    18.05,  16.25,  15.3,   13.5,   11.7,   10.0

T(B4_S),    50.5,   44.5,   40.2,   37.8,   33.4,   30.5
V(B4_S),    13.0,   9.65,   8.3,    7.9,    6.4,    6.1

T(B4_B),    50.5,   47.0,   41.7,   38.6,   35.3,   32.2
V(B4_B),    18.45,  16.45,  13.7,   12.45,  11.0,   9.85

T(B5_S),    49.5,   46.0,   43.7,   38.8,   35.8,   32.7
V(B5_S),    11.85,  10.55,  9.4,    8.85,   7.4,    6.7

T(B5_B),    50.0,   47.0,   42.5,   38.5,   35.5,   33.0
V(B5_B),    19.75,  19.25,  16.75,  13.7,   12.55,  11.15
