Params,     T/V1,   T/V2,   T/V3,   T/V4,   T/V5,   T/V6,   T/V7,   T/V8
 
T(A1_S),    50.1,   46.4,   44.4,   41.4,   38.2,   35.1
V(A1_S),    12.95,  11.05,  9.65,   8.70,   7.65,   7.3

T(A1_B),    50.5,   47.3,   44.4,   41.0,   37.9,   34.9
V(A1_B),    19.05,  17.15,  15.95,  14.05,  12.80,  10.75

T(A2_S),    50.4,   44.9,   43.5,   40.0,   37.8,   34.0
V(A2_S),    12.45,  11.9,   11.0,   8.7,    7.95,   7.0

T(A2_B),    49.7,   45.8,   42.3,   38.4,   35.7,   31.4
V(A2_B),    19.1,   16.95,  14.6,   12.75,  11.7,   10.4

T(A3_S),    45.35,  40.35,  39.1,   35.1,   32.3,   31.15
V(A3_S),    11.75,  9.65,   9.1,    7.86,   7.6,    6.75

T(A3_B),    49.31,  43.95,  41.0,   39.1,   35.8,   33.1
V(A3_B),    17.85,  14.6,   13.65,  12.95,  11.05,  10.55

T(A4_S),    50.1,   45.5,   42.0,   39.0,   36.0,   31.9
V(A4_S),    12.1,   10.85,  9.45,   8.3,    7.45,   6.45

T(A4_B),    51.4,   48.5,   44.7,   40.5,   36.4,   32.8
V(A4_B),    17.85,  16.95,  16.20,  14.0,   11.65,  10.60

T(A5_S),    48.0,   42.5,   39.6,   38.8,   36.3,   35.2
V(A5_S),    10.5,   9.7,    8.9,    7.85,   7.35,   7.25

T(A5_B),    50.0,   46.2,   43.2,   41.6,   39.7,   38.6
V(A5_B),    17.85,  17.00,  15.9,   14.75,  13.85,  12.8

T(B1_S),    49.5,   46.5,   44.1,   40.7,   37.6,   31.6
V(B1_S),    12.1,   10.9,   9.8,    9.1,    8.35,   6.15

T(B1_B),    50.0,   46.7,   43.2,   38.9,   35.6,   32.8
V(B1_B),    19.35,  17.20,  15.95,  12.30,  11.50,  10.65

T(B2_S),    49.8,   44.6,   42.6,   41.0,   37.1,   33.5
V(B2_S),    11.5,   10.8,   9.55,   8.3,    7.2,    7

T(B2_B),    49.9,   44.4,   41.9,   38.8,   36.0,   33.5
V(B2_B),    18.7,   15.2,   13.8,   12.5,   11.6,   10.3

T(B3_S),    49.6,   43.8,   42.1,   40.1,   37.0,   32.1
V(B3_S),    12.3,   10.15,  9.9,    9.05,   8.0,    6.6

T(B3_B),    50.0,   47.2,   42.5,   38.7,   34.6,   31.5
V(B3_B),    20.1,   17.6,   14.0,   11.95,  10.65,  9.4

T(B4_S),    50.1,   46.2,   42.1,   39.6,   35.5,   32.2
V(B4_S),    12.3,   11.05,  9.15,   8.3,    6.8,    6.6

T(B4_B),    49.1,   47.2,   42.8,   39.7,   35.6,   32.3
V(B4_B),    18.4,   16.2,   14.65,  13.0,   11.15,  9.9

T(B5_S),    51.0,   48.0,   45.0,   42.0,   39.0,   35.0
V(B5_S),    12.6,   11.85,  10.6,   9.6,    9.0,    7.6

T(B5_B),    47.1,   40.2,   38.7,   35.0,   32.3
V(B5_B),    16.8,   14.35,  13.2,   12.25,  11.35
